TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
1610612737,ATL,Atlanta Hawks,72,41,31,241.7,9.8,25.1,0.39,28.4,8.8,22.9,0.384,0.565
1610612738,BOS,Boston Celtics,72,36,36,241.4,9.4,23.5,0.401,27.2,8.3,21.3,0.391,0.579
1610612751,BKN,Brooklyn Nets,72,48,24,241.7,10.9,26.0,0.42,31.9,10.0,24.1,0.416,0.613
1610612766,CHA,Charlotte Hornets,72,33,39,241.0,10.7,27.4,0.39,31.4,10.0,25.6,0.391,0.573
1610612741,CHI,Chicago Bulls,72,31,41,241.4,10.9,28.9,0.378,31.5,9.6,25.4,0.378,0.545
1610612739,CLE,Cleveland Cavaliers,72,22,50,242.1,8.2,23.6,0.349,23.9,7.4,21.7,0.341,0.505
1610612742,DAL,Dallas Mavericks,72,42,30,240.3,10.4,27.8,0.375,30.5,9.6,26.0,0.369,0.547
1610612743,DEN,Denver Nuggets,72,47,25,242.8,11.2,27.9,0.401,32.2,9.8,24.9,0.393,0.576
1610612765,DET,Detroit Pistons,72,20,52,242.1,9.6,26.7,0.361,28.2,9.0,24.8,0.361,0.529
1610612744,GSW,Golden State Warriors,72,39,33,240.3,11.0,28.9,0.381,32.2,10.3,27.0,0.38,0.558
1610612745,HOU,Houston Rockets,72,17,55,240.3,10.3,29.6,0.349,30.5,9.9,28.5,0.347,0.516
1610612754,IND,Indiana Pacers,72,34,38,242.4,9.7,26.1,0.372,28.5,9.1,24.8,0.368,0.547
1610612746,LAC,LA Clippers,72,47,25,240.0,12.2,27.8,0.438,35.0,10.7,25.0,0.428,0.63
1610612747,LAL,Los Angeles Lakers,72,42,30,242.4,9.8,26.1,0.374,28.4,8.8,23.9,0.369,0.543
1610612763,MEM,Memphis Grizzlies,72,38,34,241.7,9.8,26.0,0.377,28.2,8.5,23.5,0.363,0.541
1610612748,MIA,Miami Heat,72,40,32,241.4,11.0,29.2,0.377,32.0,10.0,26.7,0.374,0.549
1610612749,MIL,Milwaukee Bucks,72,46,26,240.7,10.8,26.8,0.402,31.6,10.0,25.2,0.397,0.588
1610612750,MIN,Minnesota Timberwolves,72,23,49,241.7,10.0,27.8,0.361,29.6,9.6,26.7,0.36,0.534
1610612740,NOP,New Orleans Pelicans,72,31,41,242.1,9.2,24.8,0.371,26.7,8.4,22.9,0.365,0.54
1610612752,NYK,New York Knicks,72,41,31,242.1,9.7,24.1,0.403,28.3,8.9,22.2,0.402,0.588
1610612760,OKC,Oklahoma City Thunder,72,22,50,241.0,9.3,26.8,0.349,27.3,8.6,25.2,0.342,0.51
