TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
1610612737,ATL,Atlanta Hawks,72,41,31,241.7,46.4,9.3,20.4,0.455,4.9,5.7,0.857,23.9,0.516,18.7,0.402,5.2,0.111,3.1,0.067,2.9,0.062
1610612738,BOS,Boston Celtics,72,36,36,241.4,45.9,9.7,20.4,0.476,5.2,6.5,0.809,25.3,0.551,17.5,0.382,4.7,0.103,3.3,0.072,3.2,0.071
1610612751,BKN,Brooklyn Nets,72,48,24,241.7,41.6,10.0,20.0,0.502,5.2,6.3,0.834,26.0,0.625,14.6,0.352,4.6,0.11,2.7,0.064,3.2,0.076
1610612766,CHA,Charlotte Hornets,72,33,39,241.0,51.3,9.9,21.0,0.472,5.3,6.8,0.775,25.8,0.503,21.3,0.416,4.8,0.094,3.8,0.074,3.4,0.067
1610612741,CHI,Chicago Bulls,72,31,41,241.4,40.8,8.6,18.2,0.474,3.6,4.3,0.835,21.4,0.526,15.9,0.39,4.0,0.097,3.3,0.081,2.2,0.053
1610612739,CLE,Cleveland Cavaliers,72,22,50,242.1,48.3,9.7,22.1,0.439,4.1,5.5,0.754,24.1,0.499,18.4,0.382,4.3,0.089,3.4,0.071,2.8,0.057
1610612742,DAL,Dallas Mavericks,72,42,30,240.3,47.2,11.6,21.0,0.552,4.7,5.9,0.787,28.7,0.607,19.1,0.405,4.6,0.098,2.8,0.059,3.0,0.063
1610612743,DEN,Denver Nuggets,72,47,25,242.8,34.2,7.7,15.8,0.483,3.1,3.8,0.816,18.9,0.551,12.9,0.376,2.8,0.081,2.4,0.071,1.9,0.057
1610612765,DET,Detroit Pistons,72,20,52,242.1,52.5,9.5,21.1,0.45,5.5,7.1,0.779,25.1,0.478,22.0,0.42,5.6,0.107,4.1,0.078,3.5,0.067
1610612744,GSW,Golden State Warriors,72,39,33,240.3,40.8,9.0,18.1,0.498,4.9,6.2,0.796,23.8,0.584,15.3,0.375,3.3,0.08,2.9,0.07,3.1,0.076
1610612745,HOU,Houston Rockets,72,17,55,240.3,46.3,9.8,20.1,0.485,5.3,7.1,0.74,25.5,0.551,17.4,0.377,4.0,0.086,3.7,0.08,3.6,0.077
