GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100005,7,203944,Julius Randle,1610612752,New York Knicks,1,11,37,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,157,193,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,10,202689,Kemba Walker,1610612752,New York Knicks,1,11,13,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,12,1629011,Mitchell Robinson,1610612752,New York Knicks,1,11,11,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,19,203095,Evan Fournier,1610612752,New York Knicks,1,10,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,19,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,24,203944,Julius Randle,1610612752,New York Knicks,1,10,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,113,245,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,33,203944,Julius Randle,1610612752,New York Knicks,1,9,18,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-29,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,38,203944,Julius Randle,1610612752,New York Knicks,1,8,49,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-21,94,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,40,202689,Kemba Walker,1610612752,New York Knicks,1,8,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,38,246,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,44,203095,Evan Fournier,1610612752,New York Knicks,1,8,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-29,228,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,50,203095,Evan Fournier,1610612752,New York Knicks,1,7,51,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,15,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,53,202689,Kemba Walker,1610612752,New York Knicks,1,7,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-62,243,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,56,203095,Evan Fournier,1610612752,New York Knicks,1,6,53,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-97,221,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,60,203095,Evan Fournier,1610612752,New York Knicks,1,6,17,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,1,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,76,203944,Julius Randle,1610612752,New York Knicks,1,5,5,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-48,173,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,78,1629011,Mitchell Robinson,1610612752,New York Knicks,1,5,2,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,81,1629628,RJ Barrett,1610612752,New York Knicks,1,4,21,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-104,220,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,93,203095,Evan Fournier,1610612752,New York Knicks,1,3,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,157,200,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,111,203944,Julius Randle,1610612752,New York Knicks,1,2,44,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-86,19,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,115,203944,Julius Randle,1610612752,New York Knicks,1,2,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,22,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,133,203944,Julius Randle,1610612752,New York Knicks,1,1,42,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,224,40,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,137,202692,Alec Burks,1610612752,New York Knicks,1,1,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,64,247,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,154,201565,Derrick Rose,1610612752,New York Knicks,1,0,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-70,237,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,156,1630193,Immanuel Quickley,1610612752,New York Knicks,1,0,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-112,222,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,162,201565,Derrick Rose,1610612752,New York Knicks,1,0,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,16,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,175,201565,Derrick Rose,1610612752,New York Knicks,2,10,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,3,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,190,202692,Alec Burks,1610612752,New York Knicks,2,9,49,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,103,158,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,193,1630193,Immanuel Quickley,1610612752,New York Knicks,2,9,28,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-20,156,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,196,1630193,Immanuel Quickley,1610612752,New York Knicks,2,8,58,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-26,266,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,210,201565,Derrick Rose,1610612752,New York Knicks,2,8,10,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,10,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,214,201565,Derrick Rose,1610612752,New York Knicks,2,7,49,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,11,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,219,1630193,Immanuel Quickley,1610612752,New York Knicks,2,7,35,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,97,240,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,236,202692,Alec Burks,1610612752,New York Knicks,2,6,55,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,3,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,262,203944,Julius Randle,1610612752,New York Knicks,2,5,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,8,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,265,202692,Alec Burks,1610612752,New York Knicks,2,4,52,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,235,77,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,269,203944,Julius Randle,1610612752,New York Knicks,2,4,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,4,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,277,203944,Julius Randle,1610612752,New York Knicks,2,4,1,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,116,26,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,280,203944,Julius Randle,1610612752,New York Knicks,2,3,42,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-6,246,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,291,1629011,Mitchell Robinson,1610612752,New York Knicks,2,2,57,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,3,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,296,203944,Julius Randle,1610612752,New York Knicks,2,2,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,81,141,1,0,20211020,NYK,BOS
Shot Chart Detail,0022100005,305,203095,Evan Fournier,1610612752,New York Knicks,2,1,57,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,10,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,313,203095,Evan Fournier,1610612752,New York Knicks,2,1,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,202,-1,1,0,20211020,NYK,BOS
