TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
1610612737,ATL,Atlanta Hawks,72,41,31,241.7,113.7,396.3,203.4,21.4,3.24,2.4,0.287,9.2,7.7,25.2,0.653,0.61,0.962
1610612738,BOS,Boston Celtics,72,36,36,241.4,112.6,406.8,216.0,20.8,3.07,2.32,0.277,9.8,6.7,22.9,0.487,0.52,0.876
1610612751,BKN,Brooklyn Nets,72,48,24,241.7,118.6,397.8,197.4,20.2,3.05,2.24,0.298,11.9,5.2,21.1,0.544,0.544,0.913
1610612766,CHA,Charlotte Hornets,72,33,39,241.0,109.5,426.6,239.8,20.2,2.85,2.14,0.257,10.9,4.8,23.9,0.499,0.407,0.758
1610612741,CHI,Chicago Bulls,72,31,41,241.4,110.7,412.8,220.9,21.1,3.06,2.32,0.268,14.3,11.3,22.7,0.518,0.526,0.868
1610612739,CLE,Cleveland Cavaliers,72,22,50,242.1,103.8,424.3,237.4,21.5,3.04,2.17,0.245,14.7,8.6,27.5,0.462,0.439,0.847
1610612742,DAL,Dallas Mavericks,72,42,30,240.3,112.4,392.1,202.8,21.2,3.24,2.5,0.287,6.9,5.9,19.8,0.459,0.678,0.842
1610612743,DEN,Denver Nuggets,72,47,25,242.8,115.1,416.4,234.5,21.2,3.06,2.16,0.276,17.2,13.0,25.8,0.528,0.587,0.895
1610612765,DET,Detroit Pistons,72,20,52,242.1,106.6,407.5,222.0,21.5,3.17,2.4,0.262,9.9,8.2,22.1,0.457,0.486,0.846
1610612744,GSW,Golden State Warriors,72,39,33,240.3,113.7,428.9,238.2,19.5,2.73,2.07,0.265,7.7,8.9,18.0,0.591,0.371,0.876
1610612745,HOU,Houston Rockets,72,17,55,240.3,108.8,398.1,204.9,20.3,3.06,2.3,0.273,7.7,5.3,19.3,0.624,0.545,0.931
1610612754,IND,Indiana Pacers,72,34,38,242.4,115.3,431.3,235.1,20.3,2.82,2.22,0.267,11.3,7.8,22.1,0.593,0.422,0.92
1610612746,LAC,LA Clippers,72,47,25,240.0,114.0,398.9,211.4,20.9,3.15,2.31,0.286,12.6,11.0,21.0,0.444,0.557,0.84
1610612747,LAL,Los Angeles Lakers,72,42,30,242.4,109.5,424.8,229.7,21.1,2.98,2.05,0.258,12.2,15.2,22.2,0.532,0.545,0.896
1610612763,MEM,Memphis Grizzlies,72,38,34,241.7,113.3,401.1,209.2,20.3,3.03,2.2,0.282,12.2,6.5,25.1,0.568,0.627,0.918
1610612748,MIA,Miami Heat,72,40,32,241.4,108.1,403.2,213.9,20.9,3.11,2.2,0.268,11.6,9.5,22.8,0.507,0.358,0.893
1610612749,MIL,Milwaukee Bucks,72,46,26,240.7,120.1,380.1,185.4,19.8,3.13,2.35,0.316,9.7,9.8,23.7,0.706,0.618,0.867
1610612750,MIN,Minnesota Timberwolves,72,23,49,241.7,112.1,420.9,226.1,20.9,2.97,2.19,0.266,9.9,8.5,21.9,0.648,0.502,0.886
1610612740,NOP,New Orleans Pelicans,72,31,41,242.1,114.6,416.3,221.7,20.5,2.96,2.17,0.275,12.3,7.2,24.9,0.574,0.608,0.879
1610612752,NYK,New York Knicks,72,41,31,242.1,107.0,394.4,212.3,21.6,3.29,2.49,0.271,7.4,6.4,19.0,0.479,0.529,0.825
1610612760,OKC,Oklahoma City Thunder,72,22,50,241.0,105.0,408.8,219.8,20.8,3.05,2.37,0.257,6.6,4.0,20.2,0.608,0.528,0.846
1610612753,ORL,Orlando Magic,72,21,51,240.7,104.0,392.2,207.7,21.5,3.29,2.48,0.265,12.1,11.1,20.1,0.45,0.433,0.793
1610612755,PHI,Philadelphia 76ers,72,49,23,242.1,113.6,430.7,237.5,21.1,2.94,2.08,0.264,8.7,14.9,19.3,0.485,0.643,0.864
